"País","DensidadPob","PobUrbana","PobRural","CrecimientoPobUrb","Puntuación","Proceso electoraly pluralismo","Funcionamientodel gobierno","Culturapolítica","Continente","2019_infl","2019_med","Alfabetizacion","Desempleo","Gasto Publico","Maestros Capacitados","Poblacion Activa"
"Serbia",79.8376857992225,56.092,43.908,-0.278572237020969,6.4,8.25,5.36,5,"Europa",4.75160128469263,NA,NA,12.7329998016357,NA,12.7329998016357,1.6017035122024e-317
"Sierra Leona",105.987170961485,42.055,57.945,3.13795496287595,4.66,6.58,1.86,6.25,"África",3.31140501804367,NA,43.20633,4.41699981689453,7.13846,4.41699981689453,1.29163038320067e-317
"Singapur",7952.9984184018,100,0,0.469704298714121,6.38,4.33,7.86,6.25,"Asia",-0.412794667941512,NA,97.34486,4.01900005340576,NA,4.01900005340576,1.72616704750579e-317
"Sri Lanka",345.558922022006,18.476,81.524,1.5475740945304,6.19,7.83,5.71,6.25,"Asia",1.65952818775845,NA,91.70982,4.11899995803833,2.11189,4.11899995803833,4.39412400537675e-317
"Sudáfrica",47.6301197767684,66.355,33.645,2.12166554916762,7.24,7.42,7.5,5,"África",-1.17914333260929,NA,NA,26.9200000762939,6.15899,26.9200000762939,1.13375506571849e-316
"Sudán",NA,34.642,65.358,3.18053908883544,2.15,0,1.79,5,"África",-4.85818348706569,NA,60.69718,16.8999996185303,NA,16.8999996185303,5.95614712929906e-317
"Suecia",24.9814981218237,87.431,12.569,1.48815067487379,9.39,9.58,9.64,10,"Europa",0.110251761485713,NA,NA,6.34600019454956,NA,6.34600019454956,2.67357843678934e-317
"Suiza",215.465350480429,73.797,26.203,0.785417652319277,9.03,9.58,9.29,9.38,"Europa",0.216690540670456,NA,NA,4.71299982070923,NA,4.71299982070923,2.44758490533122e-317
"Tailandia",135.897206835131,49.949,50.051,1.82633349063983,4.63,3,4.29,5,"Asia",2.08213796833299,NA,93.76776,0.765999972820282,NA,0.765999972820282,1.92230048649338e-316
"Tayikistán",65.5727141724908,27.134,72.866,3.01521456211187,1.95,0.08,0.79,6.25,"Asia",4.48344979009603,NA,NA,11.1330003738403,NA,11.1330003738403,1.19214730101666e-317
"Togo",145.046773303916,41.702,58.298,3.74927250235742,3.1,3.17,0.79,5,"África",2.79421743983632,NA,NA,2.0789999961853,5.42885,2.0789999961853,1.77693426887856e-317
"Trinidad y Tobago",270.927485380117,53.184,46.816,0.377615186799853,7.16,9.58,7.14,5.63,"América",-0.36903669962733,NA,NA,2.5,NA,2.5,3.29834766704095e-318
"Túnez",74.4413233779609,68.945,31.055,1.58627763614229,6.41,6.42,5.71,6.25,"África",-0.0762341009688896,NA,NA,15.4589996337891,NA,15.4589996337891,2.00673754053177e-317
"Turkmenistán",12.4505947694337,51.593,48.407,2.46291758371658,1.72,0,0.79,5,"Asia",NA,NA,NA,3.79999995231628,NA,3.79999995231628,1.29177218004102e-317
"Turquía",106.960128893104,75.143,24.857,2.15672688777234,4.37,4.5,5,5,"Asia-Europa",-0.464571482736091,NA,NA,10.8900003433228,NA,10.8900003433228,1.62182230996014e-316
"Ucrania",77.0296708039151,69.352,30.648,-0.313465038476151,5.69,6.17,3.21,6.25,"Europa",3.82790195664884,NA,NA,8.79899978637695,NA,8.79899978637695,1.00948031289837e-316
"Uganda",213.061734490325,23.774,76.226,6.18266030087073,5.2,5.25,3.57,6.88,"África",2.78675696220358,NA,76.5275,1.74899995326996,2.52076,1.74899995326996,7.87315987821783e-317
"Uruguay",19.7080276539824,95.334,4.666,0.46615015300963,8.38,10,8.57,7.5,"América",-0.13788919732049,NA,98.70386,8.33600044250488,NA,8.33600044250488,8.64556086410326e-318
"Uzbekistán",77.4708509637988,50.478,49.522,1.59445249215377,2.01,0.08,1.86,5,"Asia",3.60039615002823,NA,99.99289,5.73600006103516,NA,5.73600006103516,7.55397568464113e-317
"Venezuela",32.7307919052208,88.208,11.792,-1.75751576829078,3.16,1.67,1.79,4.38,"América",NA,NA,NA,7.21700000762939,NA,7.21700000762939,6.20265278417557e-317
"Zambia",23.3414789007116,43.521,56.479,4.17297037539389,5.61,6.17,4.64,6.88,"África",-1.19378253483622,NA,86.74796,11.5,4.66738,11.5,3.52514850176438e-317
